species	nb_genes	nb_genes_filtered	nb_codon_not_decoded	rho_aa_fpkm	pval_aa_fpkm	rho_gc3_gci	pval_gc3_gci	gc3	std_gc3	var_gc3	gci	std_gci	var_gci
Halyomorpha_halys	25026	12759	0	0.778743758604436	0.0000523327340683875	0.181760615731892	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000661082124895161	0.368567292399123	0.00103027535320408	0.0135432613243331	0.289226584703579	0.000287414401751118	0.00094898965638045
Athalia_rosae	22113	10393	0	0.768307357138429	0.0000760196340794643	0.688359303132199	0	0.450533996857017	0.00095044169529658	0.00938840655213256	0.346093342336176	0.000516488899833659	0.00262012441702388
Cephus_cinctus	31876	10911	0	0.695740103467587	0.00065826962129232	0.699884161917202	0	0.417043382610824	0.000998298246195955	0.0108738959263733	0.310466976719618	0.000695284145608307	0.0049874445850163
Orussus_abietinus	19696	9535	0	0.714414440561619	0.000401831300973808	0.835779820809741	0	0.525195047161165	0.00174666489871045	0.0290897428890717	0.357868586980666	0.000957223116107367	0.00827855450938303
Nasonia_vitripennis	24891	10622	0	0.859303330001112	0.00000121737916239567	0.781114108190791	0	0.511408203221207	0.00185375198110604	0.0365014026399823	0.325740799440924	0.000920001594496212	0.00836500019549228
Trichogramma_pretiosum	21161	12141	0	0.688567658033865	0.000788209520227316	0.740445604713434	0	0.473974225628432	0.00190558061752121	0.0440868543645424	0.296598933705165	0.000836274705096196	0.00762786915565933
Harpegnathos_saltator	26784	10466	0	0.778118747750216	0.0000535455800536879	0.831211821777348	0	0.516780907414315	0.00170099369231387	0.0302821102791576	0.343366751255065	0.0010113592000385	0.0101067554706764
Linepithema_humile	21674	10543	0	0.644696498469684	0.00214952179779594	0.718027875658115	0	0.458011915046506	0.00139454350126344	0.0205035158754263	0.275843993921892	0.000708350969533288	0.00500506693298652
Camponotus_floridanus	23971	9554	0	0.788386286085304	0.0000364051210832675	0.681285147643261	0	0.422734328429804	0.0013943404596183	0.0185747465217572	0.245979599418151	0.000668642388341204	0.00406353414664997
Pogonomyrmex_barbatus	19128	9654	0	0.740016962683099	0.000191428391923998	0.679861162954857	0	0.440798754115702	0.00136253891122844	0.0179227695956402	0.269919812415999	0.000762104564960231	0.00530621956943793
Polistes_canadensis	19297	8885	0	0.725153437904767	0.000297306530149831	0.718602762945085	0	0.299383300777443	0.000969351087690147	0.00834871500476595	0.230959290600455	0.000660445748270527	0.00367663359483823
Polistes_dominula	20855	9278	0	0.728329236854413	0.000271250927787022	0.678084967059161	0	0.281755514136305	0.00090539053954144	0.0076054737659076	0.222059910266496	0.000640596728829166	0.00360381813204056
Solenopsis_invicta	25238	10817	0	0.701891789920176	0.000561746177540413	0.597700967760165	0	0.46438709689095	0.00124899147384977	0.0168743004338234	0.281894592572192	0.000657894134273423	0.0043676339660777
Acromyrmex_echinatior	20241	9831	0	0.601442840927262	0.00502880162659785	0.57556764282515	0	0.426766864477869	0.00114992572793907	0.0129998181663799	0.267253192688606	0.000567149193811575	0.00300171439743972
Atta_cephalotes	10657	1269	0	0.685449122741564	0.000851125230430831	0.427641067128189	0.000000000000000000000000000000000000000000000000000000338551928352886	0.398589866481441	0.00284891104818491	0.0102995772896365	0.251168334484665	0.00133391067624462	0.00216187099602225
Dufourea_novaeangliae	12157	8846	0	0.721788027500411	0.000327218471293622	0.829655964463265	0	0.431023774719094	0.00168746629736214	0.0251893609968689	0.31293918190619	0.000781791123957451	0.00510716515268275
Megachile_rotundata	26024	9365	0	0.834992884181085	0.0000046538864689168	0.848740335651946	0	0.379541508760741	0.00162868230109448	0.0248416555449188	0.281380406729522	0.00088662387063633	0.0070057400256969
Habropoda_laboriosa	12256	8669	0	0.577509759087474	0.0076646596242317	0.856083236375537	0	0.387259471680364	0.0017663222409187	0.0270463633292256	0.293920147373818	0.000971679306221251	0.00774400584928489
Eufriesea_mexicana	15659	9329	0	0.698284098754926	0.000616775155041642	0.867920345355214	0	0.356550607065633	0.00184930235122018	0.0319044260883256	0.268299527158522	0.00108522992505587	0.0103993028337906
Apis_mellifera	23471	9431	0	0.643291011388314	0.00221412370684854	0.860191265090721	0	0.311712579917833	0.00205316806342375	0.0397563719806308	0.195953514849928	0.00105384377002764	0.00994974617027795
Apis_florea	17663	9418	0	0.609461596403798	0.00433467434771346	0.859397017383868	0	0.311110426613334	0.00198338310748096	0.0370486089337026	0.202479949949754	0.00106476143243432	0.0101399640251483
Apis_cerana	19255	9215	0	0.698872900501164	0.000607494089370211	0.854315874214696	0	0.307649011636675	0.00200187017314195	0.0369289668119131	0.200479106842657	0.00109780546519927	0.0105151679239515
Melipona_quadrifasciata	14257	9294	2	0.633416177012665	0.00271533708629306	0.814706369003801	0	0.388595202431731	0.00164642096141147	0.0251932642223352	0.293069428177678	0.000997342651196478	0.00849765686476027
Bombus_terrestris	22091	9632	0	0.676792932893851	0.00104842330535699	0.842408736775583	0	0.353767192139688	0.00144182262100134	0.0200235069951931	0.268971477493115	0.000841209307153197	0.00646564362045689
Onthophagus_taurus	21668	10280	0	0.744168758444874	0.000168401235436999	0.255399664097248	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000599904853546145	0.310460178238646	0.000747611951581195	0.00574573491791161	0.250756470333554	0.000830765130102753	0.00649105544661663
Tribolium_castaneum	22611	11950	0	0.661390641251525	0.00149502479302004	0.406717536648555	0	0.521000699678411	0.00105402998060576	0.0132762014401886	0.305982810119726	0.00057694720074703	0.00364956554633997
Dendroctonus_ponderosae	20551	9784	0	0.463600399234897	0.0395113372203828	0.744332202077046	0	0.487434393739351	0.00121633560108832	0.0144751569291422	0.352553888599036	0.000605933709591885	0.00338627665605165
Anoplophora_glabripennis	20632	10716	0	0.773805536525403	0.0000625958678788568	0.352943438603843	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000890599542889678	0.423879357864016	0.00127697660266967	0.0174742516161941	0.291055356680349	0.000421064264277087	0.00175805835688134
Leptinotarsa_decemlineata	19038	10025	0	0.727276918455726	0.000279659541440784	0.307004860709115	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102829046487829	0.393944431042711	0.000916226136016449	0.00841569008150432	0.328134104412026	0.000379331030849623	0.00130841023756872
Bombyx_mori	22571	9904	0	0.702296270017705	0.000555844874557419	0.517641999880033	0	0.487858205165052	0.00146244510672989	0.021182137315723	0.347564805642144	0.000503865369994933	0.00226638953701233
Danaus_plexippus	15232	11938	0	0.794728339609102	0.0000283843286113264	0.6218028893731	0	0.471698951093481	0.00123131012843299	0.0180994958613724	0.281952150750736	0.000504741402167501	0.00275705474249713
Aedes_aegypti	28317	12159	0	0.781496858575839	0.0000472679406641745	0.229598438577644	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000216300263598052	0.576519924318576	0.000885092801251414	0.00952523009535041	0.362823641341967	0.000395170630917078	0.00175554878119795
Culex_quinquefasciatus	18883	8988	0	0.79428362142068	0.0000288920071124081	0.113744571248599	0.00000000000000000000000030053486364882	0.712159688094653	0.0010578056836237	0.0100571483443878	0.359138639552826	0.000703972635264606	0.00410288588407634
Anopheles_gambiae	14102	8887	0	0.703357141120948	0.000540616268039606	0.472570879810505	0	0.698472595243916	0.00127466714475786	0.0144393872440449	0.429482811129662	0.000719048774114876	0.00407885865995812
Drosophila_grimshawi	14986	9491	0	0.787631849447902	0.0000374783092070757	0.220999568072471	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111725025927991	0.591531512838812	0.000747214241547654	0.0052991017042256	0.327243134180763	0.000639618087559142	0.00333262063296071
Drosophila_pseudoobscura	23456	12921	0	0.843692644893075	0.00000295582068074896	0.491548442554333	0	0.66554514371791	0.000919654260318585	0.0109281161080644	0.407827404477747	0.000657638004720978	0.00462761887421126
Drosophila_melanogaster	30493	11386	0	0.852513400264492	0.00000181281734677542	0.45481475281714	0	0.652311368572543	0.000951878245010985	0.0103165379932006	0.36165152638327	0.000666989057566713	0.0042667903983456
Drosophila_suzukii	23160	12396	0	0.744813489401664	0.00016504750202951	0.369826878901756	0	0.666874977208014	0.0010313408077	0.0131851772287319	0.350538338110428	0.000708132555653974	0.00528981415606127
Ceratitis_capitata	22949	11275	0	0.834776595337229	0.00000470514321933425	0.413502346899438	0	0.407522195692898	0.000696751254376356	0.00547358755060592	0.287199472651884	0.000680531860114041	0.0046316992499154
Lucilia_cuprina	18864	11322	0	0.877500227507806	0.000000375131101057259	0.0433528419772741	0.0000167813183215589	0.317115976647914	0.000524562195303957	0.00311542375411413	0.248510476351318	0.000526137546281807	0.00272640724771569
Musca_domestica	21309	10971	0	0.834462237730399	0.00000478051668606689	0.258501788291979	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000460529115923081	0.423403673593295	0.000666406622654016	0.00487219681807365	0.315058085579429	0.000549058433084292	0.00286783809505753
Enhydra_lutris	36603	15179	0	0.592315002717837	0.00592794351768236	0.863886148693108	0	0.627696843223185	0.00133467267806087	0.0270391292206362	0.473519766871685	0.000777372184046781	0.0085727063727458
Motacilla_alba	42246	14126	0	0.517573299039163	0.0194232534082184	0.85118976889338	0	0.635910965481206	0.00142957653368826	0.0288691517416849	0.4685567861893	0.000849516291632725	0.00960986331254325
