species	tRNA_GFF	prop_cds_expressed	nb_genes	nb_genes_filtered	nb_codon_not_decoded	rho_aa_fpkm	pval_aa_fpkm	rho_gc3_gci	pval_gc3_gci	g_abond_ag	c_duc_ic	gc3	var_gc3	gci	std_gci	var_gci	nb_aa_POC1	nb_genes_per_bins_POC1	nb_busco_POC1	S_POC1	expressed_overused_POC1	expressed_overused_background_POC1	constraint_overused_POC1	nb_aa_POC2	nb_genes_per_bins_POC2	nb_busco_POC2	S_POC2	expressed_overused_POC2	expressed_overused_background_POC2	constraint_overused_POC2	nb_aa_POCs	nb_genes_per_bins_POCs	nb_busco_POCs	S_POCs	expressed_overused_POCs	expressed_overused_background_POCs	constraint_overused_POCs
Mus_musculus	TRUE	0.765218979768918	22055	16756	0	0.624910109735382	0.00321969564135843	0.766687728219403	0	0.545454545454545	0.692307692307692	0.598407921470745	0.0132693487789045	0.456308967255511	0.000437700938111288	0.00298350821808359	13	335.12	793	0.171305073423803	4.27399999999999	3.681	1.5887787887702	5	335.12	793	-0.0209150050569719	-0.509000000000004	0.465999999999994	0.3423808835382	18	335.12	793	0.138765076906207	3.456	3.171	1.55193698990732
Bos_taurus	TRUE	0.745545711225781	21039	15315	0	0.313017394856489	0.179018830516101	0.846167433201235	0	0.538461538461538	0.4	0.627448797074201	0.0264061834766855	0.466437176462139	0.000710471786795083	0.0072086226525579	17	306.3	659	-0.0106231942889387	-0.261	0.372	2.073250726899	1	306.3	659	-0.00667765643856211	-0.154999999999994	-0.660999999999995	-0.294913393920513	18	306.3	659	-0.00288059402739013	-0.0709999999999988	0.543000000000005	2.05216657561715
Crocodylus_porosus	TRUE	0.888308528906697	14717	12415	0	0.331322254142739	0.153582978778109	0.750211183754371	0	0.363636363636364	0.928571428571429	0.533098362079726	0.024385503913981	0.458704767526367	0.000655578908562356	0.00509895388029388	13	248.3	861	-0.00796712024007806	-0.189	0.872999999999996	-1.42731896784726	5	248.3	861	0.221652086335901	5.48999999999999	5.17299999999999	-4.6748802690282	18	248.3	861	0.023642098144538	0.572999999999996	1.453	-1.27500547076357
Gallus_gallus	TRUE	0.907158376886488	17477	15448	0	0.711112372124164	0.000439668336332138	0.87864422228205	0	0.461538461538462	0.714285714285714	0.602767265023421	0.0277804471450083	0.474848027311497	0.000862394430707279	0.0107126027158715	12	308.96	674	0.200762666282882	5.01	5.47300000000001	1.11741140237983	6	308.96	674	0.106566911151955	2.525	1.789	1.27514059602442	18	308.96	674	0.18800722826531	4.69499999999999	4.96699999999999	1.48653466013455
Loxodonta_africana	TRUE	0.880277791756832	21094	17492	0	0.700263306385088	0.000586046443119324	0.841371387227204	0	0.230769230769231	0.222222222222222	0.588260491326298	0.0209110577786535	0.447863108226819	0.000611447319136371	0.00550034342785105	16	349.84	784	-0.00337568493688745	-0.0819999999999987	0.945000000000001	-1.54739946947316	2	349.84	784	-0.0597444367646218	-1.46700000000001	-1.45200000000001	0.393526850241434	18	349.84	784	-0.00596852258835834	-0.146000000000002	0.818999999999998	-1.17872388609567
Cervus_elaphus	FALSE	0.676198147402336	19243	8395	0	0.147479349499692	0.534936713422264	0.821000372757336	0	0.545454545454545	1	0.6460636505475	0.0236975073665566	0.477445650549283	0.00103227317536099	0.00869093498229585	17	167.9	574	0.0503130328401648	1.236	1.218	0.14381720357853	1	167.9	574	0.174577920298717	3.94899999999999	0.830999999999993	-0.795348898422362	18	167.9	574	0.0578510269848065	1.426	1.367	0.272712441316255
Sus_scrofa	TRUE	0.712780759292387	20673	14344	0	0.82136147215093	0.00000901827692605861	0.85009029879984	0	0.461538461538462	0.461538461538462	0.627168110150113	0.0270874753390342	0.473206433177393	0.000747775160315764	0.00754820465251071	14	286.88	715	0.0924956649877789	2.284	2.071	2.39212587053014	4	286.88	715	0.0138728298761597	0.331000000000004	-1.242	-1.3402515448243	18	286.88	715	0.0859123094343557	2.115	1.634	1.97218135916044
Canis_lupus	TRUE	0.831000805477245	20248	16507	0	0.733711282255228	0.000231537259618166	0.847126482850201	0	0.5	0.8	0.619098233401931	0.027884563670911	0.46850890323383	0.000785823873401546	0.00947768406779986	12	330.14	781	0.225599901879177	5.603	3.95	0.674455418643414	6	330.14	781	0.430922826765873	10.129	2.159	-0.635353483092403	18	330.14	781	0.268371997239678	6.628	3.847	0.469732767863434
Xenopus_tropicalis	TRUE	0.799033183946825	21199	15868	0	0.763444958089005	0.0000898858337417296	0.642208085397016	0	0.333333333333333	1	0.480924567705724	0.0104903064328483	0.400807725427909	0.000337512939862197	0.00168616960167061	15	317.36	790	0.0546017831707661	1.358	1.845	0.0595273645825926	2	317.36	790	0.0134042547499239	0.331999999999999	0.558999999999998	1.8946984560845	17	317.36	790	0.0496365938572822	1.234	1.684	0.330174180487814
Homo_sapiens	TRUE	0.856966342114368	20322	17339	0	0.505643483998943	0.022939362219786	0.829416359284059	0	0.545454545454545	0.384615384615385	0.596583492858252	0.0265749433296359	0.459487266513259	0.000643091634557085	0.00664767355392921	13	346.78	780	0.0687535663808259	1.71800000000001	1.15000000000001	-0.776267143771081	5	346.78	780	0.00524946311484298	0.128000000000006	-0.257999999999997	-0.824625242589171	18	346.78	780	0.0600617351633688	1.49900000000001	0.946000000000008	-0.661963900337964
