species	median_copy_tRNA	nb_genes	nb_genes_filtered	nb_codon_not_decoded	rho_aa_fpkm	pval_aa_fpkm	rho_gc3_gci	pval_gc3_gci	gc_duc_ag	gc_abond_ag	gc_abond_duet	gc2	gc2_top5	gc4	gc4_top5	gc3	gc3_top5	std_gc3	var_gc3	gci	gci_top5	std_gci	var_gci	average_RTF_abundant_tRNA_WB_WC_notambiguous	expressed_overused_WB_WC_notambiguous	expressed_overused_background_WB_WC_notambiguous	constraint_overused_WB_WC_notambiguous	average_RTF_abundant_tRNA_WC_duet_ambiguous	expressed_overused_WC_duet_ambiguous	expressed_overused_background_WC_duet_ambiguous	constraint_overused_WC_duet_ambiguous
Halyomorpha_halys	0.00062210548144052	14467	12759	0	0.778743758604436	0.0000523327340683875	0.181760615731892	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000661082124895161	0.75	0.181818181818182	0.25	0.365315762560569	0.399947160200983	0.293204670693418	0.291682452873285	0.368567292399123	0.393401190683312	0.00103027535320408	0.0135432613243331	0.289226584703579	0.272895008467849	0.000287414401751118	0.00094898965638045	1.88574613413323	0.04943	0.0471200000000001	0.00676587201469325	2	0.03518	0.05885	-0.0000665211688329337
Athalia_rosae	0.000274147857077584	10943	10393	0	0.768307357138429	0.0000760196340794643	0.688359303132199	0	0.666666666666667	0.5	0.333333333333333	0.381181629952502	0.435929229396049	0.411134020384227	0.407764567590217	0.450533996857017	0.477400622841137	0.00095044169529658	0.00938840655213256	0.346093342336176	0.338950908704907	0.000516488899833659	0.00262012441702388	1.7785064142207	0.0674400000000001	0.0683900000000001	0.0165831380048831	2	0.04434	0.05485	0.0262737536838568
Cephus_cinctus	0.000345006037605658	11594	10911	0	0.695740103467587	0.00065826962129232	0.699884161917202	0	0.666666666666667	0.555555555555556	0.666666666666667	0.426273172239601	0.481424593985552	0.363645261839744	0.354264218617378	0.417043382610824	0.445758691088679	0.000998298246195955	0.0108738959263733	0.310466976719618	0.297921093727493	0.000695284145608307	0.0049874445850163	1.68366751398426	0.0750000000000001	0.0793700000000001	0.00120875704735274	2	0.04885	0.0741	0.0149802367281147
Orussus_abietinus	0.000199104031856645	10045	9535	0	0.714414440561619	0.000401831300973808	0.835779820809741	0	0.25	0.857142857142857	1	0.502333706910041	0.514947470383936	0.488025011485987	0.46125207193273	0.525195047161165	0.521430471991194	0.00174666489871045	0.0290897428890717	0.357868586980666	0.34406209004238	0.000957223116107367	0.00827855450938303	1.6978851010101	0.00689000000000006	0.0201700000000001	0.00342951466069941	2	-0.03435	0.00123000000000001	0.0112056265823949
Nasonia_vitripennis	0.000224618149146451	13356	10622	0	0.859303330001112	0.00000121737916239567	0.781114108190791	0	0.666666666666667	0.714285714285714	1	0.493517503759092	0.564880159192179	0.457163129427801	0.452500789467575	0.511408203221207	0.553121430109223	0.00185375198110604	0.0365014026399823	0.325740799440924	0.33323779934918	0.000920001594496212	0.00836500019549228	1.92297249534092	0.08226	0.07335	-0.00249967383776717	2	0.05091	0.0577	-0.0055050207547247
Trichogramma_pretiosum	0.000313160573083849	12773	12141	0	0.688567658033865	0.000788209520227316	0.740445604713434	0	0.166666666666667	0.181818181818182	0.2	0.417251461382029	0.420434220701154	0.450956448820418	0.409517399227153	0.473974225628432	0.472740562809227	0.00190558061752121	0.0440868543645424	0.296598933705165	0.291130525711485	0.000836274705096196	0.00762786915565933	1.96694879194879	0.06397	0.05046	-0.00150674312825849	2	0.00353000000000003	0.02069	-0.00878176359450761
Harpegnathos_saltator	0.000237079184447606	12654	10466	0	0.778118747750216	0.0000535455800536879	0.831211821777348	0	0.666666666666667	0.555555555555556	0.75	0.506224429397563	0.540410861361662	0.494153005330971	0.490346980992649	0.516780907414315	0.532528144753343	0.00170099369231387	0.0302821102791576	0.343366751255065	0.346654525664859	0.0010113592000385	0.0101067554706764	1.62363639971999	0.03589	0.03607	-0.00985368506448303	2	-0.01406	-0.00426000000000004	-0.00117712550563093
Linepithema_humile	0.000258397932816537	11610	10543	0	0.644696498469684	0.00214952179779594	0.718027875658115	0	0.0833333333333333	0.888888888888889	1	0.421207942591096	0.439244694858203	0.443976589582391	0.405267284309947	0.458011915046506	0.453944883791728	0.00139454350126344	0.0205035158754263	0.275843993921892	0.272191501615042	0.000708350969533288	0.00500506693298652	1.75053835053835	0.03427	0.03815	-0.00399775790035367	2	-0.01492	0.00431999999999994	0.00350579206005358
Camponotus_floridanus	0.000239769820971867	12512	9554	0	0.788386286085304	0.0000364051210832675	0.681285147643261	0	0.75	0.666666666666667	0.333333333333333	0.395929351970428	0.450655324481128	0.406508011223285	0.411130692950177	0.422734328429804	0.452403134242265	0.0013943404596183	0.0185747465217572	0.245979599418151	0.257807704108677	0.000668642388341204	0.00406353414664997	1.76399855143171	0.02397	0.02926	0.00158191807715075	2	0.04332	0.03535	-0.0122678439667184
Pogonomyrmex_barbatus	0.000264363764540007	11348	9654	0	0.740016962683099	0.000191428391923998	0.679861162954857	0	0.0833333333333333	0.428571428571429	0.333333333333333	0.414158011566224	0.430779017791746	0.427646230730263	0.394686816470275	0.440798754115702	0.439318193307859	0.00136253891122844	0.0179227695956402	0.269919812415999	0.2702538495592	0.000762104564960231	0.00530621956943793	1.6736901986902	0.05982	0.06507	0.011232536548676	2	-0.02419	-0.00770999999999997	-0.00861171274370248
